ID,Conflict,Year,Month,Day,Text,Latitude,Longitude,Fatalities,ThemesString,Target of attack
704409,Iraq,2019,1,1,"Suspected Islamic State militants kill two Iraqi troops and injure two others in an attack on a military position near the town of Buhriz, Diyala province.",33.70275,44.67245,2,"Armed clashes/Violent incidents, Human security",Iraqi Army - military position
704418,Iraq,2019,1,6,"Iraqi forces kill a suspected senior ISIS commander and arrest 17 other militants in an operation in Badush, Nineveh province.",36.41627,42.96522,1,"Armed clashes/Violent incidents, Law enforcement",ISIS
704420,Iraq,2019,1,8,"Iraqi airstrikes kill four suspected ISIS militants in a rural area near Baqubah, Diyala province.",33.75964,44.60666,4,Armed clashes/Violent incidents,ISIS
704433,Iraq,2019,1,13,"Iraqi airstrikes kill four suspected Islamic State militants in an area near Rutba, Anbar province.",33.03639,40.28333,4,Armed clashes/Violent incidents,ISIS
704443,Iraq,2019,1,16,Iraqi airstrikes kill three suspected ISIS militants in an area close to Kirkuk.,35.46558,44.38039,3,Armed clashes/Violent incidents,ISIS
704447,Iraq,2019,1,18,"Popular Mobilisation Unit (PMU) troops say they have killed and injured 35 ISIS militants in the Syrian town of Susah, close to the Iraqi border. ",34.516667,40.95,NULL,Armed clashes/Violent incidents,ISIS
706477,Iraq,2019,1,22,Iraqi troops kill a suspected senior ISIS militant during an operation in an area north of Baghdad.,33.31524,44.36607,1,Armed clashes/Violent incidents,ISIS
706487,Iraq,2019,1,26,"Iraqi airstrikes kill three suspected ISIS militants in an area near Baqubah, Diyala province. ",33.75964,44.60666,3,Armed clashes/Violent incidents,ISIS
706489,Iraq,2019,1,27,"Iraqi forces kill a suspected ISIS militant and arrest one other during an operation in Khanaqin, Diyala province.",34.35425,45.38394,1,"Armed clashes/Violent incidents, Law enforcement",ISIS
706492,Iraq,2019,1,28,"Suspected ISIS militants kill two civilians and kidnap another in Haditha, Anbar province. ",34.12518,42.37416,2,"Armed clashes/Violent incidents, Kidnappings/Abductions/Disappearances",ISIS
706495,Iraq,2019,1,29,"Iraqi airstrikes kill six suspected ISIS militants who were allegedly close to the group’s leader Abu Bakr al-Baghdadi. The strike targeted vehicles near Rutba, Anbar province.",33.03639,40.28333,6,Armed clashes/Violent incidents,Civilians
706503,Iraq,2019,2,2,"Popular Mobilisation Units (PMU) personnel kill two suspected ISIS militants during an operation in Hawija, Kirkuk province. ",35.32482,43.76692,2,Armed clashes/Violent incidents,ISIS
706507,Iraq,2019,2,4,"Iraqi security forces kill a suspected senior ISIS militant in an operation near Baqubah, Diyala province.",33.75964,44.60666,1,Armed clashes/Violent incidents,ISIS
706513,Iraq,2019,2,8,Suspected ISIS militants execute three civilians near the Makhoul mountains in Salahuddin province. ,35.12942,43.4163,3,"Armed clashes/Violent incidents, Human security",ISIS
706516,Iraq,2019,2,9,"US-led coalition airstrikes kill seven suspected ISIS militants in Hawija, Kirkuk province.",35.32482,43.76692,7,Armed clashes/Violent incidents,Civilians
706520,Iraq,2019,2,11,"Suspected ISIS militants kill an Iraqi border guard and injure one other at a checkpoint in Khanaqin, Diyala province.",34.35425,45.38394,1,"Armed clashes/Violent incidents, Human security",ISIS
706521,Iraq,2019,2,12,Popular Mobilisation Units (PMU) personnel kill two suspected ISIS militants during an operation near the Hamreen mountain area in Diyala province.,35.0325,43.64639,2,Armed clashes/Violent incidents,Border guard - checkpoint
706521,Iraq,2019,7,3,"US-led international coalition airstrikes kill three ISIS militants west of al Munayif mountain, Nineveh province. ",35.436153 ,41.617720 ,1,Armed clashes/Violent incidents,ISIS
706522,Iraq,2019,7,1,"Iraqi military intelligence units storm an ISIS position in al Baaj district, west of Mosul, killing two militants and seizing two motorbikes, firearms and an explosive belt. ",36.043456 ,41.716160 ,1,Armed clashes/Violent incidents,Civilians
706523,Iraq,2019,7,7,"Members of the Popular Mobilisation Units (PMUs) kill two ISIS militants as part of a security operation in Ba’aj district, Nineveh province. ",36.044099 ,41.716482 ,1,Armed clashes/Violent incidents,ISIS
706524,Iraq,2019,6,27,"ISIS militants launch an attack on al-Khazrajiya village, Nineveh province, killing two women and injuring a number of others, including children. ",35.934973 ,41.770448 ,1,Armed clashes/Violent incidents,Civilians
706525,Iraq,2019,7,3,"Popular Mobilisation Unit (PMU) forces conduct a pre-emptive operation in the Sheikh Ibrahim mountain range, south of Tal Afar, Nineveh province, and kill four ISIS members. The militia forces also destroy two militant positions during the operation. ",36.330278  ,42.590278 ,1,Armed clashes/Violent incidents,ISIS
706526,Iraq,2019,6,9,"Iraqi security forces conduct an operation in Shaikh Ibrahim town, Nineveh province, killing two ISIS militants and destroying seven tunnels. ",36.285104 ,42.647033 ,1,Armed clashes/Violent incidents,ISIS
706527,Iraq,2019,6,23,"Iraqi counter-terrorism forces, supported by army personnel and US-led coalition warplanes, destroy ten ISIS tunnels between Nineveh and Salahuddin provinces as part of a wide-scale security operation to clear the area of ISIS remnants. ",35.056952 ,43.004778 ,1,Armed clashes/Violent incidents,ISIS
706528,Iraq,2019,6,12,"The Popular Mobilisation Units (PMU) kill two ISIS militants who were reportedly plotting to conduct attacks against civilians in al-Shirqat, Salahuddin province.  ",35.508817 ,43.231311 ,1,Armed clashes/Violent incidents,ISIS
706529,Iraq,2019,6,20,"Members of the Popular Mobilisation Units (PMU) kill one ISIS militant and wound two others, during a security operation in the deserts west of Anbar province. ",33.429075 ,43.269154 ,1,Armed clashes/Violent incidents,ISIS
706530,Iraq,2019,6,3,"International coalition airstrikes target a tunnel containing ISIS militants in Anbar province, destroying it and killing the militants inside. The number of fatalities is unknown. ",33.435858,43.280141 ,1,Armed clashes/Violent incidents,ISIS
706531,Iraq,2019,6,10,"Iraqi security forces, with air support from the US-led coalition, target ISIS bases in the deserts of Anbar province. ",33.438147 ,43.282205 ,1,Armed clashes/Violent incidents,ISIS
